hash,params,onchip_used_bytes,offchip_streamed_bytes,total_ops,mapped,latency_ms_median,latency_ms_min,latency_ms_p95,latency_ms_mean,n_timed,status
0b311d4cc1e30b4e6643be185f501b28,12110730,7790919,4393533,68,TRUE,10.5408,10.4528,10.6522,10.5465,100,timed
bcc43ab208a192a9ef8a1d41acdd79c9,4445834,4508876,0,95,TRUE,1.2801,1.2552,1.4249,1.2977,100,timed
58c8f040b84f617501dea6f4ab582479,5939082,6029312,0,95,TRUE,1.6584,1.6339,1.8716,1.6888,100,timed
779940613eb81c2bfd643b029f8018b8,14196618,7895777,6396313,86,TRUE,15.3130,15.2219,15.5645,15.3412,100,timed
ca548741288594b4f10bdf4055a25741,11231626,8032092,3261071,50,TRUE,8.0167,7.9591,8.0881,8.0237,100,timed
5f628d0626df3c905f6aa68ee314c98a,22454154,7969177,14575206,77,TRUE,33.3412,33.2343,33.4297,33.3410,100,timed
7cfd725f077a0c642c7ba8c3cb19a627,6246794,6312427,0,104,TRUE,1.5486,1.5159,1.5847,1.5538,100,timed
a1cab48052a76de2d82508410bd2761e,4863162,6910115,0,104,TRUE,1.6901,1.6622,1.7191,1.6938,100,timed
7e804ee3e327a1d3ab3e34a8ccd3ce7d,3742858,3795845,0,95,TRUE,1.2230,1.1863,1.3186,1.2365,100,timed
9f4f07e32195542677bd0acbba9cf3f4,5894538,5955911,0,77,TRUE,1.3403,1.2571,1.5213,1.3619,100,timed
8e85de1dead7e9c3e04aa83a4a4b5ab1,19489162,7853834,11691622,86,TRUE,27.2803,27.1659,27.4162,27.2848,100,timed
64a3f8ba8735c09f8ed1d8767e53b281,29668746,7780433,21967667,86,TRUE,50.1204,49.9435,50.2726,50.1300,100,timed
c5a8ee1abdf621ea2c39d88965507a27,3479434,3533701,0,86,TRUE,1.2103,1.1815,1.3458,1.2300,100,timed
a2ff048bbd10f06c03164c22f156a453,2381450,2453667,0,95,TRUE,1.0800,1.0090,1.3451,1.1331,100,timed
f29fd2bdc03f5a8989c71075d380ec32,10188682,7853834,2380267,77,TRUE,6.5014,6.4189,6.6560,6.5241,100,timed
cb6ef5912869f5940f7bafd89949a46e,14196618,7906263,6385827,95,TRUE,15.3215,15.2241,15.4492,15.3268,100,timed
829770556ba3fbf0e154772f5f037d34,6949770,7025459,0,104,TRUE,1.6923,1.6515,1.8798,1.7207,100,timed
ed6b52901d9d5c6fb39e9f59833969ae,2490952,3114270,0,77,TRUE,0.9987,0.9667,1.1333,1.0147,100,timed
65933d33a02a18bb48533c4c1046530e,7695498,7748976,0,77,TRUE,1.6606,1.6264,1.7579,1.6753,100,timed
9a00438f0896232e140bc6386da5795f,832413,1080033,0,95,TRUE,0.8721,0.8406,0.9949,0.8935,100,timed
bacbce1769dfc8fae89fc31c6f525d2b,22454154,7864320,14680064,95,TRUE,33.7367,33.6195,33.9117,33.7520,100,timed
0c7938a14731a85d2fd0aca298eda074,12110730,7864320,4320133,86,TRUE,10.6256,10.5394,10.7668,10.6411,100,timed
