hash,params,ops_on_tpu,ops_on_cpu,onchip_used_bytes,offchip_streamed_bytes,mapped,status
0b311d4cc1e30b4e6643be185f501b28,12110730,,,7790919,4393533,PARTIAL,partial_999_cpu_ops
0b4c894ca3edffb49c77ea258aa3f72e,6510218,,,6574571,0,PARTIAL,partial_999_cpu_ops
0b6b76b6f2150440bf717d660b3fd567,2030730,,,2086666,0,PARTIAL,partial_999_cpu_ops
0bc81d0ab8d29c89e00e8795ea66bcad,14196618,,,7864320,6427770,PARTIAL,partial_999_cpu_ops
0c7938a14731a85d2fd0aca298eda074,12110730,,,7864320,4320133,PARTIAL,partial_999_cpu_ops
0c89700597ad3662c85d1a1457ca94c2,7432074,,,7486832,0,PARTIAL,partial_999_cpu_ops
0cc9426bf35e6e110d77bb8fbca177ba,10188682,,,7790919,2453667,PARTIAL,partial_999_cpu_ops
0cd5aff4e3f44ec7fd0cdea0b25cbcc5,6070666,,,6134169,0,PARTIAL,partial_999_cpu_ops
0d3c0ce16a90c0d50618769f2547c8f2,20368266,,,8021606,12415139,PARTIAL,partial_999_cpu_ops
0d90a5d14d815418d08a5a53d9f0bad2,4521276,,,6490685,0,PARTIAL,partial_999_cpu_ops
0da761dba61a8ddaa4458e24c94abffc,2776458,,,2820669,0,PARTIAL,partial_999_cpu_ops
0dee31cc5fa22a286f00a90c2dc8f8ee,19489162,,,7853834,11691622,PARTIAL,partial_999_cpu_ops
0e1593a94de5bc5e0ebff96ebe4e7304,16118666,,,7969177,8262778,PARTIAL,partial_999_cpu_ops
0e29b0f85d696cc300af5b65c7ea264d,31754634,,,7895777,23959961,PARTIAL,partial_999_cpu_ops
0e31775732548b0c90d80a6bd2f9154d,10023306,,,8032092,2055208,PARTIAL,partial_999_cpu_ops
0e46dc003e269edef361afacbb1dfec7,2151197,,,2726297,0,PARTIAL,partial_999_cpu_ops
0ea046bd83ad24242aa4e1ed1090a073,11067786,,,7853834,3271557,PARTIAL,partial_999_cpu_ops
0ed8f83666e1fb7f79ca02bdde890d2d,1013770,,,1111490,0,PARTIAL,partial_999_cpu_ops
0ee493fe7bb618a0ae642840558f62a0,1767306,,,1814036,0,PARTIAL,partial_999_cpu_ops
110619da4fafebfc831b21d26343a230,1578289,,,1992294,0,PARTIAL,partial_999_cpu_ops
115c3dfab6fd1231dd465ca5a0d5b507,3303306,,,3355443,0,PARTIAL,partial_999_cpu_ops
11ce5773627a6bc429030308a0a119ff,5543818,,,5599395,0,PARTIAL,partial_999_cpu_ops
11f2e9e8dbc0f211fde593054d04225a,31754634,,,7969177,23886561,PARTIAL,partial_999_cpu_ops
126ea449e5bc5ea4428d138c5c5ff41d,3525514,,,3596615,0,PARTIAL,partial_999_cpu_ops
1285fc826d8c65dc92f132f21565d83e,38090122,,,7895777,30272389,PARTIAL,partial_999_cpu_ops
12f87ffb6565d759e00d7536ae4b5200,5543818,,,5599395,0,PARTIAL,partial_999_cpu_ops
1301d79cd7922fa516eea152b69b1aca,2664111,,,3334471,0,PARTIAL,partial_999_cpu_ops
139eaf391eac2a81db1f8c2c773217bf,3031497,,,3785359,0,PARTIAL,partial_999_cpu_ops
13e677d747f01fcad4c15aa4b6d86c96,6862474,,,6931087,0,PARTIAL,partial_999_cpu_ops
1484414f42c86d8c9715aea5385d6725,6862474,,,6931087,0,PARTIAL,partial_999_cpu_ops
1499a73e3b84789ad556ca8303455065,24376202,,,7906263,16588472,PARTIAL,partial_999_cpu_ops
15392df31d78737912a7fb12485d4cd6,2974090,,,3040870,0,PARTIAL,partial_999_cpu_ops
1583dcc40be576ec7008f126e6e81512,5775242,,,5872025,0,PARTIAL,partial_999_cpu_ops
1596fd1ef512a1f2e0d53a5f56881d8c,3918986,,,3974103,0,PARTIAL,partial_999_cpu_ops
15ab0e32f80a8c849f3059558d6870ef,12989834,,,7864320,5211422,PARTIAL,partial_999_cpu_ops
15cb16810ae9474dee310a1eb9328967,3071395,,,3858759,0,PARTIAL,partial_999_cpu_ops
16145ce8a1a7ec9c0cc956d794267763,3487287,,,5211422,0,PARTIAL,partial_999_cpu_ops
16225523801005dd8ea21f1ef27c0310,13868938,,,7864320,6102712,PARTIAL,partial_999_cpu_ops
167e7c85c4a65b87b0fd985096f55495,22290314,,,7864320,14522777,PARTIAL,partial_999_cpu_ops
168e95938db8e7c52112e58c0f292079,1415050,,,1468006,0,PARTIAL,partial_999_cpu_ops
16a0f01729c0044e29933500d3355681,6070666,,,6134169,0,PARTIAL,partial_999_cpu_ops
17231e3e4bdb695ba7f4938fe4bb313f,1300746,,,1415577,0,PARTIAL,partial_999_cpu_ops
173b06d79e4c725a3c7bb7d2d1a05177,2794695,,,3491758,0,PARTIAL,partial_999_cpu_ops
174c06f72389faa51a6b8153b87fd380,12989834,,,7790919,5284823,PARTIAL,partial_999_cpu_ops
178a4448e12d9f02821df3b4993a5897,22454154,,,7906263,14648606,PARTIAL,partial_999_cpu_ops
17fd2abaf102f70113324aa2e536f8c4,1978038,,,2506096,0,PARTIAL,partial_999_cpu_ops
1861cea8716fd7bebbd36446e7c95ea5,5807242,,,5861539,0,PARTIAL,partial_999_cpu_ops
1864812c899522d96a54dec5a4625e45,1749642,,,1887436,0,PARTIAL,partial_999_cpu_ops
18717f525fd1554aea7a0ec9907b633a,1740447,,,2202009,0,PARTIAL,partial_999_cpu_ops
188ca2126f2621e2f367864d15117356,5807242,,,5861539,0,PARTIAL,partial_999_cpu_ops
18e7e3d39b5b57052ca70818bd8382e4,20532106,,,7969177,12635340,PARTIAL,partial_999_cpu_ops
18f0bea6e38607c88b03a8b2ba7bcc8e,4017034,,,4089446,0,PARTIAL,partial_999_cpu_ops
19a7627b5a32093b415f7837ab27e5cd,3365427,,,5064622,0,PARTIAL,partial_999_cpu_ops
1a23d766bc88a66c08a77daa62511899,11946890,,,7864320,4152360,PARTIAL,partial_999_cpu_ops
1a2c54fe9e8c032f910a50333346e317,1458454,,,1835008,0,PARTIAL,partial_999_cpu_ops
1ae5551b973f460743db65219af7898c,12110730,,,7895777,4288675,PARTIAL,partial_999_cpu_ops
1afab1094896c3d6eee4534861682aea,3534199,,,4404019,0,PARTIAL,partial_999_cpu_ops
1afd00395ec69ed9f63948e25b6b3fe9,3039882,,,3082813,0,PARTIAL,partial_999_cpu_ops
1b52eedea10c86e566841c87ddfe4125,2619709,,,3271557,0,PARTIAL,partial_999_cpu_ops
1b907c229ed015b3f2ef1a17ed706709,6070666,,,6134169,0,PARTIAL,partial_999_cpu_ops
1c14688f9132dec0c53d90f9480c8527,3014829,,,3785359,0,PARTIAL,partial_999_cpu_ops
