hash,params,coral_latency_ms,coral_offchip_bytes,npu_latency_ms_median,npu_latency_ms_min,npu_latency_ms_p95,npu_latency_ms_mean,npu_n_timed,status
b5b2760be383c2f1485073b1c54d02e9,,,,3.0300,2.9232,3.1975,3.0530,100,timed
b5c67e246aa1b13c2a1f368cfaf3705e,,,,5.5560,4.9220,5.7144,5.4293,100,timed
b63f6a132f77910ccac030af0f120192,,,,6.9213,6.2260,7.0219,6.8649,100,timed
b6c9554acdc4b47d81823ba67626f845,,,,5.9711,5.2328,6.1431,5.8184,100,timed
b6cfe6189f05c33821cb9d0df417a8fc,,,,6.4465,5.8250,6.5593,6.2829,100,timed
b7722bcee5e5c3e61965e8da35cb82ad,,,,5.3976,5.0585,5.7966,5.4539,100,timed
b7b8d82d71264d1d606793b5a65a4ecf,,,,5.1825,4.5602,5.2920,5.0925,100,timed
b898e8a7ada8eadb0319638eb2d0520f,,,,5.9466,5.2999,6.3518,5.8358,100,timed
b8ac1fcbc2fca0dfc45a99652b502843,,,,4.5076,3.9180,4.6768,4.4028,100,timed
b8c0df1967a82ca4f0be3e88cf2efbb6,,,,4.9198,4.3209,5.0054,4.8390,100,timed
b8c821682443b314c913878f9febe926,,,,4.3317,3.7549,4.4484,4.1338,100,timed
b8f5db82f5646ced448205c7de637f33,,,,5.4181,4.7495,5.5077,5.2634,100,timed
b9004ebdd029b077bc3e6cdb7da692d4,,,,2.9100,2.5613,3.4167,2.9727,100,timed
b91f365bf5006d28865808e3e74ddc75,,,,5.0884,4.4348,5.2098,4.9927,100,timed
b94752eaa467ee9b62e24643dfec7376,,,,4.5627,3.9924,4.9428,4.5164,100,timed
b98c29c210adbd72771cfa1b08e278d2,,,,4.8790,4.7326,5.4432,5.0661,100,timed
b9b8d68a9e92490be9fae5fe98c93fff,,,,5.1896,4.6106,5.2507,5.1305,100,timed
b9ba3436af81be9d9dbfb8ec840e59da,,,,4.4544,3.9285,4.7515,4.4180,100,timed
b9d626506f441e7dff83e31537491aa6,,,,3.7577,3.1072,3.8210,3.5911,100,timed
ba4571cd14baeac35e8379941d456294,,,,7.2908,6.6307,7.4339,7.1118,100,timed
ba913daa2e7faa0619ceea5b3b7db9bc,,,,4.4734,3.8514,4.5544,4.3764,100,timed
bacbce1769dfc8fae89fc31c6f525d2b,,,,6.7340,6.1090,6.8783,6.5653,100,timed
