hash,params,coral_latency_ms,coral_offchip_bytes,gpu_latency_ms_median,gpu_latency_ms_min,gpu_latency_ms_p95,gpu_latency_ms_mean,gpu_n_timed,provider,status
7a7df354c9ed7699de9797a3c8de2391,13153674,12.9556,5379194,2.7001,2.4671,4.2893,2.9340,100,CUDAExecutionProvider,timed
7ad086bdc3ebfa56a8ef5f6f0214df83,6246794,1.6252,0,2.6196,2.3304,4.5224,2.9119,100,CUDAExecutionProvider,timed
7b00ba173f37fd11c3b879716dad1bd4,4358538,1.4264,0,2.4134,2.1923,4.1104,2.7328,100,CUDAExecutionProvider,timed
7b2fd70156186ce9dd422edaae54ada1,1678474,1.0001,0,1.8375,1.6869,3.3854,2.0641,100,CUDAExecutionProvider,timed
7bbec64332bf58b6c1681300e18f6fb3,4006282,1.2168,0,2.2163,1.9355,3.7591,2.4917,100,CUDAExecutionProvider,timed
7c65f6bd01b87407734781b6038050bc,3216010,0.8660,0,1.3610,1.2310,2.5692,1.5535,100,CUDAExecutionProvider,timed
7cb9fc92003fb6d5663423001409b318,12274570,10.4062,4372561,1.8041,1.6850,2.8160,1.9672,100,CUDAExecutionProvider,timed
7cfd725f077a0c642c7ba8c3cb19a627,6246794,1.5486,0,2.5953,2.2833,4.6937,2.9508,100,CUDAExecutionProvider,timed
7d0ffe256707d06c1d36df577af56c01,3827706,1.3091,0,3.5443,3.0118,5.5689,3.8100,100,CUDAExecutionProvider,timed
7d26c1014380504f8717b33ebc4b0191,2810250,1.2651,0,1.4367,1.2948,2.7131,1.6314,100,CUDAExecutionProvider,timed
7d4b7fc1b99bcb64747f0c5b3b0046f6,22290314,33.0411,14365491,3.6110,3.3317,5.1930,3.8348,100,CUDAExecutionProvider,timed
7d968619cd79b2da79057a364affc9d0,4269706,1.1910,0,2.2662,2.0100,4.2805,2.7179,100,CUDAExecutionProvider,timed
7d9741575b0be783a7e67bf2185d60c9,12274570,10.9911,4487905,2.3944,2.1537,3.8483,2.5920,100,CUDAExecutionProvider,timed
7dac2cae5fa78726418f85166c822c17,12110730,10.7521,4330618,2.5543,2.3921,4.2964,2.8067,100,CUDAExecutionProvider,timed
7e1457ddf24845418005c21c07757841,8135050,1.7960,297472,2.5891,2.3848,4.1825,2.8761,100,CUDAExecutionProvider,timed
7e6f9d42149ac45cfff02a478c7ae86f,23333258,35.2978,15403581,3.6517,3.3900,5.5510,3.9509,100,CUDAExecutionProvider,timed
7e804ee3e327a1d3ab3e34a8ccd3ce7d,3742858,1.2230,0,2.1164,1.8937,3.9866,2.4334,100,CUDAExecutionProvider,timed
7eae29ce7b118b8684f79d1b18f5ab25,3742858,1.2270,0,2.0514,1.8921,3.5541,2.2687,100,CUDAExecutionProvider,timed
